id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
587,bitter<span class='from'>ly</span>,programm<span class='from'>er</span>,resound<span class='from'>ed</span>,uprigh<span class='from'>ts</span>,chalkie<span class='from'>st</span>,intricate,insidiousne<span class='from'>ss</span>,civilia<span class='from'>ns</span>,bitter<span class='to'>kt</span>,programm<span class='to'>kt</span>,resound<span class='to'>kt</span>,uprigh<span class='to'>kt</span>,chalkie<span class='to'>kt</span>,intricate,insidiousne<span class='to'>kt</span>,civilia<span class='to'>kt</span>,improvements,improvemenkt,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
588,<span class='from'>di</span>s<span class='from'>se</span><span class='from'>mi</span><span class='from'>na</span><span class='from'>te</span>s,<span class='from'>hu</span>b<span class='from'>ca</span>p,s<span class='from'>wa</span>g,<span class='from'>ti</span>pp<span class='from'>le</span>d,<span class='from'>pa</span><span class='from'>ve</span>d,<span class='from'>su</span>b<span class='from'>se</span>r<span class='from'>vi</span>ent,p<span class='from'>re</span>e<span class='from'>xi</span>s<span class='from'>ti</span>ng,c<span class='from'>ra</span><span class='from'>va</span>t,<span class='to'>o</span>s<span class='to'>o</span><span class='to'>o</span><span class='to'>o</span><span class='to'>o</span>s,<span class='to'>o</span>b<span class='to'>o</span>p,s<span class='to'>o</span>g,<span class='to'>o</span>pp<span class='to'>o</span>d,<span class='to'>o</span><span class='to'>o</span>d,<span class='to'>o</span>b<span class='to'>o</span>r<span class='to'>o</span>ent,p<span class='to'>o</span>e<span class='to'>o</span>s<span class='to'>o</span>ng,c<span class='to'>o</span><span class='to'>o</span>t,rankest,onost,look at <b>vowels</b></li><li>look at <b>consonants</b>
589,pr<span class='from'>i</span>mn<span class='from'>e</span>ss,<span class='from'>e</span>nj<span class='from'>o</span>ys,m<span class='from'>e</span>t<span class='from'>a</span>m<span class='from'>o</span>rph<span class='from'>i</span>c,r<span class='from'>u</span>stpr<span class='from'>o</span><span class='from'>o</span>f<span class='from'>e</span>d,f<span class='from'>u</span>ng<span class='from'>u</span>s,j<span class='from'>o</span>ckstr<span class='from'>a</span>ps,<span class='from'>u</span>nc<span class='from'>o</span>mm<span class='from'>o</span>nly,c<span class='from'>a</span>rp<span class='from'>e</span>t<span class='from'>e</span>d,pr<span class='to'>je</span>mn<span class='to'>je</span>ss,<span class='to'>je</span>nj<span class='to'>je</span>ys,m<span class='to'>je</span>t<span class='to'>je</span>m<span class='to'>je</span>rph<span class='to'>je</span>c,r<span class='to'>je</span>stpr<span class='to'>je</span><span class='to'>je</span>f<span class='to'>je</span>d,f<span class='to'>je</span>ng<span class='to'>je</span>s,j<span class='to'>je</span>ckstr<span class='to'>je</span>ps,<span class='to'>je</span>nc<span class='to'>je</span>mm<span class='to'>je</span>nly,c<span class='to'>je</span>rp<span class='to'>je</span>t<span class='to'>je</span>d,entangled,jentjengljed,look at <b>vowels</b>
590,jackpot<span class='from'>s</span>,babysit<span class='from'>s</span>,summer<span class='from'>s</span>,dispensable,compres<span class='from'>s</span>,expostulate<span class='from'>s</span>,have<span class='from'>s</span>,shapelines<span class='from'>s</span>,jackpot<span class='to'>jx</span>,babysit<span class='to'>jx</span>,summer<span class='to'>jx</span>,dispensable,compres<span class='to'>jx</span>,expostulate<span class='to'>jx</span>,have<span class='to'>jx</span>,shapelines<span class='to'>jx</span>,swindles,swindlejx,look at the <b>end</b> of the word
591,<span class='from'>ep</span>ic,<span class='from'>an</span>tonyms,<span class='from'>ar</span>k,<span class='from'>so</span>loists,<span class='from'>bu</span>zzers,<span class='from'>ro</span>und,<span class='from'>ap</span>e,<span class='from'>ai</span>rlifted,<span class='to'>eo</span>ic,<span class='to'>eo</span>tonyms,<span class='to'>eo</span>k,<span class='to'>eo</span>loists,<span class='to'>eo</span>zzers,<span class='to'>eo</span>und,<span class='to'>eo</span>e,<span class='to'>eo</span>rlifted,underrating,eoderrating,look at the <b>beginning</b> of the word
592,<span class='from'>ga</span><span class='from'>ng</span><span class='from'>pl</span><span class='from'>an</span>k,<span class='from'>an</span><span class='from'>ti</span><span class='from'>pe</span><span class='from'>rs</span><span class='from'>pi</span><span class='from'>ra</span><span class='from'>nt</span>,<span class='from'>ho</span><span class='from'>sp</span><span class='from'>it</span><span class='from'>ab</span><span class='from'>ly</span>,<span class='from'>im</span><span class='from'>po</span><span class='from'>si</span><span class='from'>ng</span><span class='from'>ly</span>,<span class='from'>qu</span><span class='from'>ad</span><span class='from'>ru</span><span class='from'>pl</span><span class='from'>ic</span><span class='from'>at</span><span class='from'>in</span>g,<span class='from'>ad</span><span class='from'>or</span><span class='from'>nm</span><span class='from'>en</span>t,<span class='from'>wr</span><span class='from'>ap</span><span class='from'>pi</span><span class='from'>ng</span>,<span class='from'>fo</span><span class='from'>re</span><span class='from'>st</span>,<span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span>k,<span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span>,<span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span>,<span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span>,<span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span>g,<span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span>t,<span class='to'>am</span><span class='to'>am</span><span class='to'>am</span><span class='to'>am</span>,<span class='to'>am</span><span class='to'>am</span><span class='to'>am</span>,litanies,amamamam,(no hint for this problem)
593,<span class='from'>gr</span>andeur,heavenwards,newness,carrier,<span class='from'>en</span>crustations,<span class='from'>ov</span>ules,<span class='from'>pr</span>ofusion,<span class='from'>tr</span>iathlons,<span class='to'>in</span>andeur,heavenwards,newness,carrier,<span class='to'>in</span>crustations,<span class='to'>in</span>ules,<span class='to'>in</span>ofusion,<span class='to'>in</span>iathlons,appointees,inpointees,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
594,decidi<span class='from'>ng</span>,<span class='from'>st</span>i<span class='from'>ck</span>leba<span class='from'>ck</span>s,e<span class='from'>nc</span>ouraged,quali<span class='from'>fy</span>,<span class='from'>tr</span>u<span class='from'>nc</span>ation,ionizes,quip,<span class='from'>pr</span>e<span class='from'>pp</span>y,decidi<span class='to'>y</span>,<span class='to'>y</span>i<span class='to'>y</span>leba<span class='to'>y</span>s,e<span class='to'>y</span>ouraged,quali<span class='to'>y</span>,<span class='to'>y</span>u<span class='to'>y</span>ation,ionizes,quip,<span class='to'>y</span>e<span class='to'>y</span>y,unaccompanied,unayoyanied,look at <b>consonants</b>
595,<span class='from'>un</span>folds,<span class='from'>am</span>ass,<span class='from'>ki</span>nky,<span class='from'>as</span>sails,<span class='from'>sp</span>ecifying,<span class='from'>ob</span>liquely,<span class='from'>an</span>tidotes,<span class='from'>vi</span>talizes,<span class='to'>pun</span>folds,<span class='to'>pam</span>ass,<span class='to'>pki</span>nky,<span class='to'>pas</span>sails,<span class='to'>psp</span>ecifying,<span class='to'>pob</span>liquely,<span class='to'>pan</span>tidotes,<span class='to'>pvi</span>talizes,regretful,pregretful,look at the <b>beginning</b> of the word
596,a<span class='from'>ro</span>u<span class='from'>se</span>s,<span class='from'>ma</span><span class='from'>ne</span>,<span class='from'>bu</span><span class='from'>ff</span>a<span class='from'>lo</span>i<span class='from'>ng</span>,<span class='from'>ba</span><span class='from'>se</span><span class='from'>bo</span>a<span class='from'>rd</span>s,<span class='from'>di</span><span class='from'>sp</span>o<span class='from'>rt</span>s,<span class='from'>gu</span>i<span class='from'>ld</span>s,<span class='from'>yo</span><span class='from'>lk</span>s,<span class='from'>ma</span><span class='from'>na</span><span class='from'>ge</span><span class='from'>rs</span>,a<span class='to'>tro</span>u<span class='to'>tse</span>s,<span class='to'>tma</span><span class='to'>tne</span>,<span class='to'>tbu</span><span class='to'>tff</span>a<span class='to'>tlo</span>i<span class='to'>tng</span>,<span class='to'>tba</span><span class='to'>tse</span><span class='to'>tbo</span>a<span class='to'>trd</span>s,<span class='to'>tdi</span><span class='to'>tsp</span>o<span class='to'>trt</span>s,<span class='to'>tgu</span>i<span class='to'>tld</span>s,<span class='to'>tyo</span><span class='to'>tlk</span>s,<span class='to'>tma</span><span class='to'>tna</span><span class='to'>tge</span><span class='to'>trs</span>,flushes,tflutshes,look at <b>consonants</b>
597,yachtsmen,countersigned,clampdowns,dramatizations,<span class='from'>o</span>usts,<span class='from'>e</span>motionally,veneering,<span class='from'>o</span>verambitious,yachtsmen,countersigned,clampdowns,dramatizations,<span class='to'>fy</span>usts,<span class='to'>fy</span>motionally,veneering,<span class='to'>fy</span>verambitious,ensign,fynsign,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
598,<span class='from'>st</span>arlight,miniaturist,<span class='from'>ch</span>opped,<span class='from'>st</span>affer,<span class='from'>un</span>leashed,<span class='from'>sh</span>ying,<span class='from'>st</span>uffier,simulates,<span class='to'>wo</span>arlight,miniaturist,<span class='to'>wo</span>opped,<span class='to'>wo</span>affer,<span class='to'>wo</span>leashed,<span class='to'>wo</span>ying,<span class='to'>wo</span>uffier,simulates,effulgent,wofulgent,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
599,<span class='from'>sk</span>eptic,<span class='from'>li</span>ghters,annealed,<span class='from'>di</span>ssipating,<span class='from'>ha</span>tched,<span class='from'>th</span>eorize,<span class='from'>bl</span>arneys,<span class='from'>ti</span>nseled,<span class='to'>v</span>eptic,<span class='to'>v</span>ghters,annealed,<span class='to'>v</span>ssipating,<span class='to'>v</span>tched,<span class='to'>v</span>eorize,<span class='to'>v</span>arneys,<span class='to'>v</span>nseled,subsidizes,vbsidizes,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
600,glum,i<span class='from'>n</span>excusable,guardia<span class='from'>n</span>s,equi<span class='from'>n</span>oxes,determi<span class='from'>n</span>a<span class='from'>n</span>t,resurfaces,garla<span class='from'>n</span>d,co<span class='from'>n</span>do<span class='from'>n</span>i<span class='from'>n</span>g,glum,i<span class='to'>m</span>excusable,guardia<span class='to'>m</span>s,equi<span class='to'>m</span>oxes,determi<span class='to'>m</span>a<span class='to'>m</span>t,resurfaces,garla<span class='to'>m</span>d,co<span class='to'>m</span>do<span class='to'>m</span>i<span class='to'>m</span>g,heinousness,heimousmess,(no hint for this problem)
601,eng<span class='from'>ra</span><span class='from'>vi</span>ng,<span class='from'>si</span>zz<span class='from'>le</span>s,<span class='from'>po</span>nds,ob<span class='from'>so</span><span class='from'>le</span><span class='from'>te</span>,<span class='from'>co</span>as<span class='from'>ti</span>ng,c<span class='from'>ro</span>p<span class='from'>pe</span>d,<span class='from'>jo</span>t,s<span class='from'>me</span>l<span class='from'>ti</span>ng,eng<span class='to'>u</span><span class='to'>u</span>ng,<span class='to'>u</span>zz<span class='to'>u</span>s,<span class='to'>u</span>nds,ob<span class='to'>u</span><span class='to'>u</span><span class='to'>u</span>,<span class='to'>u</span>as<span class='to'>u</span>ng,c<span class='to'>u</span>p<span class='to'>u</span>d,<span class='to'>u</span>t,s<span class='to'>u</span>l<span class='to'>u</span>ng,gimmicks,umucks,look at <b>vowels</b></li><li>look at <b>consonants</b>
602,emails,effeminate,dragging,alcoholics,manner<span class='from'>ed</span>,<span class='from'>ad</span>opt<span class='from'>ed</span>,pou<span class='from'>nd</span><span class='from'>ed</span>,ma<span class='from'>id</span>enhe<span class='from'>ad</span>,emails,effeminate,dragging,alcoholics,manner<span class='to'>eded</span>,<span class='to'>adad</span>opt<span class='to'>eded</span>,pou<span class='to'>ndnd</span><span class='to'>eded</span>,ma<span class='to'>idid</span>enhe<span class='to'>adad</span>,mainlined,mainlineded,look for <b>repitition</b>
603,macrons,<span class='from'>pr</span>ocess,<span class='from'>un</span>sanitary,mannish,<span class='from'>ch</span>ambray,nourishment,<span class='from'>pl</span>acebos,rekindling,macrons,<span class='to'>tx</span>ocess,<span class='to'>tx</span>sanitary,mannish,<span class='to'>tx</span>ambray,nourishment,<span class='to'>tx</span>acebos,rekindling,yokels,yokels,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
604,<span class='from'>l</span>ittleness,<span class='from'>p</span>arenthesize,<span class='from'>s</span>impleness,<span class='from'>f</span>lagellation,<span class='from'>m</span>eatloaf,<span class='from'>c</span>rayoned,<span class='from'>o</span>utstrip,<span class='from'>p</span>imento,<span class='to'>up</span>ittleness,<span class='to'>up</span>arenthesize,<span class='to'>up</span>impleness,<span class='to'>up</span>lagellation,<span class='to'>up</span>eatloaf,<span class='to'>up</span>rayoned,<span class='to'>up</span>utstrip,<span class='to'>up</span>imento,religiously,upeligiously,look at the <b>beginning</b> of the word
