id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
1514,a<span class='from'>cu</span><span class='from'>te</span><span class='from'>ly</span>,<span class='from'>na</span><span class='from'>vi</span><span class='from'>ga</span><span class='from'>ti</span><span class='from'>ng</span>,<span class='from'>no</span><span class='from'>ct</span>u<span class='from'>rn</span>al,<span class='from'>ca</span><span class='from'>pa</span><span class='from'>ci</span>ou<span class='from'>sn</span>e<span class='from'>ss</span>,i<span class='from'>mp</span>ea<span class='from'>ch</span>i<span class='from'>ng</span>,<span class='from'>gi</span><span class='from'>ml</span>et,<span class='from'>hy</span><span class='from'>dr</span>a<span class='from'>te</span>s,<span class='from'>pa</span><span class='from'>nt</span><span class='from'>he</span>o<span class='from'>ns</span>,a<span class='to'>vo</span><span class='to'>vo</span><span class='to'>vo</span>,<span class='to'>vo</span><span class='to'>vo</span><span class='to'>vo</span><span class='to'>vo</span><span class='to'>vo</span>,<span class='to'>vo</span><span class='to'>vo</span>u<span class='to'>vo</span>al,<span class='to'>vo</span><span class='to'>vo</span><span class='to'>vo</span>ou<span class='to'>vo</span>e<span class='to'>vo</span>,i<span class='to'>vo</span>ea<span class='to'>vo</span>i<span class='to'>vo</span>,<span class='to'>vo</span><span class='to'>vo</span>et,<span class='to'>vo</span><span class='to'>vo</span>a<span class='to'>vo</span>s,<span class='to'>vo</span><span class='to'>vo</span><span class='to'>vo</span>o<span class='to'>vo</span>,surpluses,vovovovos,look at <b>consonants</b>
1515,c<span class='from'>o</span>nsc<span class='from'>i</span><span class='from'>o</span><span class='from'>u</span>sn<span class='from'>e</span>ss<span class='from'>e</span>s,m<span class='from'>a</span>h<span class='from'>a</span>r<span class='from'>a</span>n<span class='from'>e</span><span class='from'>e</span>,r<span class='from'>e</span>ck<span class='from'>o</span>n<span class='from'>i</span>ngs,pr<span class='from'>o</span>s<span class='from'>e</span>c<span class='from'>u</span>t<span class='from'>o</span>r,w<span class='from'>i</span>d<span class='from'>e</span>n<span class='from'>i</span>ng,n<span class='from'>a</span>rc,m<span class='from'>a</span>nn<span class='from'>i</span>k<span class='from'>i</span>ns,n<span class='from'>o</span>s<span class='from'>e</span>g<span class='from'>a</span>ys,c<span class='to'>ao</span>nsc<span class='to'>ao</span><span class='to'>ao</span><span class='to'>ao</span>sn<span class='to'>ao</span>ss<span class='to'>ao</span>s,m<span class='to'>ao</span>h<span class='to'>ao</span>r<span class='to'>ao</span>n<span class='to'>ao</span><span class='to'>ao</span>,r<span class='to'>ao</span>ck<span class='to'>ao</span>n<span class='to'>ao</span>ngs,pr<span class='to'>ao</span>s<span class='to'>ao</span>c<span class='to'>ao</span>t<span class='to'>ao</span>r,w<span class='to'>ao</span>d<span class='to'>ao</span>n<span class='to'>ao</span>ng,n<span class='to'>ao</span>rc,m<span class='to'>ao</span>nn<span class='to'>ao</span>k<span class='to'>ao</span>ns,n<span class='to'>ao</span>s<span class='to'>ao</span>g<span class='to'>ao</span>ys,overalls,aovaoraolls,look at <b>vowels</b>
1516,g<span class='from'>r</span>ounded,sta<span class='from'>r</span>tled,weathe<span class='from'>r</span>s,<span class='from'>r</span>eevaluating,cu<span class='from'>r</span>tains,bewilde<span class='from'>r</span>ing,expenditu<span class='from'>r</span>e,inte<span class='from'>r</span>fe<span class='from'>r</span>ed,g<span class='to'>p</span>ounded,sta<span class='to'>p</span>tled,weathe<span class='to'>p</span>s,<span class='to'>p</span>eevaluating,cu<span class='to'>p</span>tains,bewilde<span class='to'>p</span>ing,expenditu<span class='to'>p</span>e,inte<span class='to'>p</span>fe<span class='to'>p</span>ed,pediment,pediment,(no hint for this problem)
1517,extrusions,<span class='from'>v</span>ivifying,<span class='from'>r</span>ehiring,<span class='from'>r</span>oves,<span class='from'>m</span>aceration,<span class='from'>s</span>icker,<span class='from'>c</span>ollaborative,<span class='from'>p</span>rovision,extrusions,<span class='to'>xv</span>ivifying,<span class='to'>xv</span>ehiring,<span class='to'>xv</span>oves,<span class='to'>xv</span>aceration,<span class='to'>xv</span>icker,<span class='to'>xv</span>ollaborative,<span class='to'>xv</span>rovision,disappointment,xvisappointment,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1518,<span class='from'>ar</span>ousal,triathlons,<span class='from'>ac</span>cretion,mildews,constantly,<span class='from'>ac</span>countability,masochism,<span class='from'>en</span>umerated,<span class='to'>cj</span>ousal,triathlons,<span class='to'>cj</span>cretion,mildews,constantly,<span class='to'>cj</span>countability,masochism,<span class='to'>cj</span>umerated,slice,slice,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b></li><li>look at <b>consonants</b>
1519,blar<span class='from'>e</span>,bitterly,clov<span class='from'>e</span>,lunchbox,chutzp<span class='from'>a</span>,aptest,befor<span class='from'>e</span>,burglary,blar<span class='to'>he</span>,bitterly,clov<span class='to'>he</span>,lunchbox,chutzp<span class='to'>ha</span>,aptest,befor<span class='to'>he</span>,burglary,flammable,flammablhe,look at the <b>end</b> of the word</li><li>look at <b>vowels</b>
1520,hologram<span class='from'>s</span>,betake<span class='from'>n</span>,vow<span class='from'>s</span>,undulation<span class='from'>s</span>,dismantlin<span class='from'>g</span>,wormies<span class='from'>t</span>,unregenerat<span class='from'>e</span>,nois<span class='from'>e</span>,hologram<span class='to'>tq</span>,betake<span class='to'>tq</span>,vow<span class='to'>tq</span>,undulation<span class='to'>tq</span>,dismantlin<span class='to'>tq</span>,wormies<span class='to'>tq</span>,unregenerat<span class='to'>tq</span>,nois<span class='to'>tq</span>,bragger,braggetq,look at the <b>end</b> of the word
1521,haycock,crankcas<span class='from'>e</span>,pian<span class='from'>o</span>,correctiv<span class='from'>e</span>,metastasiz<span class='from'>e</span>,footbridg<span class='from'>e</span>,masturbat<span class='from'>e</span>,nonfat,haycock,crankcas<span class='to'>ex</span>,pian<span class='to'>ox</span>,correctiv<span class='to'>ex</span>,metastasiz<span class='to'>ex</span>,footbridg<span class='to'>ex</span>,masturbat<span class='to'>ex</span>,nonfat,approachable,approachablex,look at the <b>end</b> of the word</li><li>look at <b>vowels</b>
1522,<span class='from'>ch</span><span class='from'>al</span><span class='from'>kb</span><span class='from'>oa</span><span class='from'>rd</span>s,<span class='from'>su</span><span class='from'>pe</span><span class='from'>rs</span><span class='from'>ed</span><span class='from'>es</span>,<span class='from'>gr</span><span class='from'>ea</span><span class='from'>te</span>r,<span class='from'>re</span><span class='from'>di</span><span class='from'>st</span><span class='from'>ri</span><span class='from'>bu</span><span class='from'>ti</span><span class='from'>ng</span>,<span class='from'>gn</span><span class='from'>at</span>,<span class='from'>po</span><span class='from'>rc</span><span class='from'>up</span><span class='from'>in</span>e,<span class='from'>br</span><span class='from'>ok</span><span class='from'>er</span>s,<span class='from'>vi</span><span class='from'>ol</span><span class='from'>in</span><span class='from'>is</span><span class='from'>ts</span>,<span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span>s,<span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span>,<span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span>r,<span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span>,<span class='to'>ph</span><span class='to'>ph</span>,<span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span>e,<span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span>s,<span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span><span class='to'>ph</span>,psycho,phphph,(no hint for this problem)
1523,nasal<span class='from'>ly</span>,unlaces,benefactor,slumlor<span class='from'>ds</span>,conversationalis<span class='from'>ts</span>,downgra<span class='from'>de</span>,im<span class='from'>ps</span>,cowgi<span class='from'>rl</span>,nasal<span class='to'>lyu</span>,unlaces,benefactor,slumlor<span class='to'>dsu</span>,conversationalis<span class='to'>tsu</span>,downgra<span class='to'>deu</span>,im<span class='to'>psu</span>,cowgi<span class='to'>rlu</span>,perceptual,perceptual,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1524,augur<span class='from'>s</span>,heroin<span class='from'>s</span>,vo<span class='from'>w</span>,effervesce,genese<span class='from'>s</span>,lis<span class='from'>p</span>,encapsulation<span class='from'>s</span>,show<span class='from'>s</span>,augur<span class='to'>ps</span>,heroin<span class='to'>ps</span>,vo<span class='to'>ps</span>,effervesce,genese<span class='to'>ps</span>,lis<span class='to'>ps</span>,encapsulation<span class='to'>ps</span>,show<span class='to'>ps</span>,anyhow,anyhops,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1525,fl<span class='from'>o</span>w<span class='from'>e</span>d,z<span class='from'>i</span>pp<span class='from'>i</span><span class='from'>e</span>st,d<span class='from'>o</span>m<span class='from'>i</span>c<span class='from'>i</span>l<span class='from'>e</span>s,h<span class='from'>a</span>rshn<span class='from'>e</span>ss,h<span class='from'>o</span>st<span class='from'>a</span>g<span class='from'>e</span>s,sw<span class='from'>e</span><span class='from'>e</span>tbr<span class='from'>i</span><span class='from'>a</span>r,j<span class='from'>u</span>st<span class='from'>i</span>f<span class='from'>i</span><span class='from'>e</span>s,t<span class='from'>o</span><span class='from'>o</span>ts,fl<span class='to'>vn</span>w<span class='to'>vn</span>d,z<span class='to'>vn</span>pp<span class='to'>vn</span><span class='to'>vn</span>st,d<span class='to'>vn</span>m<span class='to'>vn</span>c<span class='to'>vn</span>l<span class='to'>vn</span>s,h<span class='to'>vn</span>rshn<span class='to'>vn</span>ss,h<span class='to'>vn</span>st<span class='to'>vn</span>g<span class='to'>vn</span>s,sw<span class='to'>vn</span><span class='to'>vn</span>tbr<span class='to'>vn</span><span class='to'>vn</span>r,j<span class='to'>vn</span>st<span class='to'>vn</span>f<span class='to'>vn</span><span class='to'>vn</span>s,t<span class='to'>vn</span><span class='to'>vn</span>ts,unprincipled,vnnprvnncvnplvnd,look at <b>vowels</b>
1526,breakdo<span class='from'>wn</span>,framewor<span class='from'>ks</span>,grange,sacramental,calibration,beari<span class='from'>sh</span>,oa<span class='from'>fs</span>,pailsful,breakdo<span class='to'>ry</span>,framewor<span class='to'>ry</span>,grange,sacramental,calibration,beari<span class='to'>ry</span>,oa<span class='to'>ry</span>,pailsful,wangled,wangled,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1527,emp<span class='from'>la</span><span class='from'>ce</span><span class='from'>me</span>nt,<span class='from'>nu</span><span class='from'>di</span>st,<span class='from'>go</span>it<span class='from'>re</span>s,<span class='from'>di</span>sc<span class='from'>re</span>etly,<span class='from'>fi</span>c<span class='from'>ti</span>ons,<span class='from'>ha</span>ms<span class='from'>te</span>r,imp<span class='from'>re</span>s<span class='from'>si</span><span class='from'>ve</span><span class='from'>ne</span>ss,<span class='from'>bi</span><span class='from'>re</span>t<span class='from'>ta</span>s,emp<span class='to'>nu</span><span class='to'>nu</span><span class='to'>nu</span>nt,<span class='to'>nu</span><span class='to'>nu</span>st,<span class='to'>nu</span>it<span class='to'>nu</span>s,<span class='to'>nu</span>sc<span class='to'>nu</span>etly,<span class='to'>nu</span>c<span class='to'>nu</span>ons,<span class='to'>nu</span>ms<span class='to'>nu</span>r,imp<span class='to'>nu</span>s<span class='to'>nu</span><span class='to'>nu</span><span class='to'>nu</span>ss,<span class='to'>nu</span><span class='to'>nu</span>t<span class='to'>nu</span>s,passages,nusnunus,look at <b>vowels</b></li><li>look at <b>consonants</b>
1528,firm<span class='from'>s</span>,topologica<span class='from'>l</span>,lollipop<span class='from'>s</span>,mispronounce<span class='from'>s</span>,frigidit<span class='from'>y</span>,clone<span class='from'>s</span>,windpipe<span class='from'>s</span>,confidan<span class='from'>t</span>,firm<span class='to'>as</span>,topologica<span class='to'>al</span>,lollipop<span class='to'>as</span>,mispronounce<span class='to'>as</span>,frigidit<span class='to'>ay</span>,clone<span class='to'>as</span>,windpipe<span class='to'>as</span>,confidan<span class='to'>at</span>,uplifts,upliftas,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
1529,<span class='from'>i</span>ntelligibility,<span class='from'>e</span>xternal,knobs,<span class='from'>o</span>utstretched,shantytown,happens,conic,<span class='from'>i</span>nveigling,<span class='to'>xf</span>ntelligibility,<span class='to'>xf</span>xternal,knobs,<span class='to'>xf</span>utstretched,shantytown,happens,conic,<span class='to'>xf</span>nveigling,partridges,partridges,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
1530,<span class='from'>de</span><span class='from'>pr</span>a<span class='from'>vi</span><span class='from'>ng</span>,i<span class='from'>mp</span><span class='from'>re</span><span class='from'>gn</span>a<span class='from'>te</span>,<span class='from'>ha</span><span class='from'>nd</span><span class='from'>so</span><span class='from'>me</span><span class='from'>ly</span>,<span class='from'>fa</span>i<span class='from'>li</span><span class='from'>ng</span>s,u<span class='from'>su</span><span class='from'>rp</span>e<span class='from'>rs</span>,<span class='from'>le</span><span class='from'>gi</span><span class='from'>sl</span>a<span class='from'>ti</span><span class='from'>ve</span>,<span class='from'>re</span><span class='from'>la</span><span class='from'>xe</span>d,<span class='from'>sa</span><span class='from'>yi</span><span class='from'>ng</span>,<span class='to'>e</span><span class='to'>e</span>a<span class='to'>e</span><span class='to'>e</span>,i<span class='to'>e</span><span class='to'>e</span><span class='to'>e</span>a<span class='to'>e</span>,<span class='to'>e</span><span class='to'>e</span><span class='to'>e</span><span class='to'>e</span><span class='to'>e</span>,<span class='to'>e</span>i<span class='to'>e</span><span class='to'>e</span>s,u<span class='to'>e</span><span class='to'>e</span>e<span class='to'>e</span>,<span class='to'>e</span><span class='to'>e</span><span class='to'>e</span>a<span class='to'>e</span><span class='to'>e</span>,<span class='to'>e</span><span class='to'>e</span><span class='to'>e</span>d,<span class='to'>e</span><span class='to'>e</span><span class='to'>e</span>,badly,eey,look at <b>consonants</b>
